Source,Target,Weight,Type
事件很严重,担心自身安全,234.33687835739573,Regular
事件很严重,加强公众教育和培训,116.9599332092169,Regular
事件很严重,管理不到位,348.78037647873145,Regular
事件很严重,企业/机构责任缺位,88.03498190576997,Regular
事件很严重,政府监管不力,107.92187633759086,Regular
事件很严重,人为操作失误,114.59029726626207,Regular
事件很严重,长期积累的问题爆发,124.22966740051766,Regular
事件很严重,担心公共安全,982.3313138988744,Regular
事件很严重,社会风险正在增加,207.25520020967159,Regular
事件很严重,需要追责问责,115.48228902411046,Regular
事件很严重,改善相关行业或系统,238.66340041384134,Regular
事件很严重,政府应加强监管,129.2933874787326,Regular
事件很严重,加强信息发布和科普,55.46697618455137,Regular
事件很严重,提升应急能力,211.13587665417498,Regular
事件很严重,经济风险正在增加,16.978150197726492,Regular
事件很严重,呼吁社会关注,325.4194099250944,Regular
事件很严重,对未来感到不安,212.80118929203323,Regular
事件很严重,制度问题,126.86805582185865,Regular
事件很严重,需要公开透明,138.44006734184757,Regular
事件很严重,支持政策改进,242.83909130251968,Regular
事件很严重,事件很严重,55.306237119993135,Loop
事件很严重,信息披露不及时,106.11740030951162,Regular
事件很严重,对信息不透明感到焦虑,88.73075697719622,Regular
事件很严重,环境风险正在增加,28.150825598425392,Regular
事件很严重,法律法规不完善,43.73047238619075,Regular
事件很严重,推动法律法规完善,45.03915614460571,Regular
事件很严重,技术手段不足,79.75927710208978,Regular
事件很严重,外部因素影响,26.304980686186706,Regular
担心自身安全,加强公众教育和培训,55.205438649698735,Regular
担心自身安全,担心公共安全,141.0007921517461,Regular
担心自身安全,担心自身安全,1.9459101490553132,Loop
担心自身安全,制度问题,26.514768291234077,Regular
担心自身安全,呼吁社会关注,42.314500339622896,Regular
担心自身安全,对未来感到不安,91.41911707880612,Regular
担心自身安全,支持政策改进,35.973615438227775,Regular
担心自身安全,提升应急能力,75.35955837873155,Regular
担心自身安全,改善相关行业或系统,60.13590449714989,Regular
担心自身安全,管理不到位,81.05972851853082,Regular
担心自身安全,企业/机构责任缺位,17.194903950941935,Regular
担心自身安全,信息披露不及时,38.05759219436684,Regular
担心自身安全,对信息不透明感到焦虑,41.315688732388324,Regular
担心自身安全,需要公开透明,13.926121267204229,Regular
担心自身安全,人为操作失误,32.52107528207137,Regular
担心自身安全,技术手段不足,33.24576835092527,Regular
担心自身安全,加强信息发布和科普,29.479186348893172,Regular
担心自身安全,社会风险正在增加,22.86470529515933,Regular
担心自身安全,经济风险正在增加,5.634789603169249,Regular
担心自身安全,政府监管不力,16.20384756849509,Regular
担心自身安全,法律法规不完善,10.02251425895777,Regular
担心自身安全,政府应加强监管,16.182528166477496,Regular
担心自身安全,长期积累的问题爆发,25.89396026075196,Regular
担心自身安全,需要追责问责,22.534449969240704,Regular
担心自身安全,环境风险正在增加,0.0,Regular
担心自身安全,推动法律法规完善,6.238324625039508,Regular
担心自身安全,外部因素影响,9.21830854162536,Regular
加强公众教育和培训,对信息不透明感到焦虑,10.234229114448356,Regular
加强公众教育和培训,管理不到位,43.963578129403665,Regular
加强公众教育和培训,技术手段不足,9.041685005946043,Regular
加强公众教育和培训,信息披露不及时,14.979161242811607,Regular
加强公众教育和培训,加强信息发布和科普,14.952727985743449,Regular
加强公众教育和培训,提升应急能力,81.22235453376305,Regular
加强公众教育和培训,支持政策改进,16.631419152428634,Regular
